param xbar :          1  2  3  4  5  6  7  8  9 :=
                   1  3  0  0  0  0  5  0  0  9  
                   2  0  9  0  0  0  0  0  2  0  
                   3  0  0  4  0  8  0  0  7  0  
                   4  0  0  0  0  2  7  9  1  0  
                   5  0  0  9  0  1  0  4  0  0  
                   6  0  1  8  5  4  0  0  0  0  
                   7  0  4  0  0  5  0  8  0  0  
                   8  0  2  0  0  0  0  0  9  0  
                   9  8  0  0  6  0  0  0  0  2  
;

param ybar :          1  2  3  4  5  6  7  8  9 :=
                   1  3  8  2  7  6  5  1  4  9  
                   2  7  9  5  4  3  1  6  2  8  
                   3  1  6  4  9  8  2  5  7  3  
                   4  4  5  3  8  2  7  9  1  6  
                   5  2  7  9  3  1  6  4  8  5  
                   6  6  1  8  5  4  9  2  3  7  
                   7  9  4  7  2  5  3  8  6  1  
                   8  5  2  6  1  7  8  3  9  4  
                   9  8  3  1  6  9  4  7  5  2  
;

param incumbent :=
[*,*,
1]:
                      1  2  3  4  5  6  7  8  9 :=
                   1  0  0  0  0  0  0  1  0  0  
                   2  0  0  0  0  0  1  0  0  0  
                   3  1  0  0  0  0  0  0  0  0  
                   4  0  0  0  0  0  0  0  1  0  
                   5  0  0  0  0  1  0  0  0  0  
                   6  0  1  0  0  0  0  0  0  0  
                   7  0  0  0  0  0  0  0  0  1  
                   8  0  0  0  1  0  0  0  0  0  
                   9  0  0  1  0  0  0  0  0  0  

[*,*,
2]:
                      1  2  3  4  5  6  7  8  9 :=
                   1  0  0  1  0  0  0  0  0  0  
                   2  0  0  0  0  0  0  0  1  0  
                   3  0  0  0  0  0  1  0  0  0  
                   4  0  0  0  0  1  0  0  0  0  
                   5  1  0  0  0  0  0  0  0  0  
                   6  0  0  0  0  0  0  1  0  0  
                   7  0  0  0  1  0  0  0  0  0  
                   8  0  1  0  0  0  0  0  0  0  
                   9  0  0  0  0  0  0  0  0  1  

[*,*,
3]:
                      1  2  3  4  5  6  7  8  9 :=
                   1  1  0  0  0  0  0  0  0  0  
                   2  0  0  0  0  1  0  0  0  0  
                   3  0  0  0  0  0  0  0  0  1  
                   4  0  0  1  0  0  0  0  0  0  
                   5  0  0  0  1  0  0  0  0  0  
                   6  0  0  0  0  0  0  0  1  0  
                   7  0  0  0  0  0  1  0  0  0  
                   8  0  0  0  0  0  0  1  0  0  
                   9  0  1  0  0  0  0  0  0  0  

[*,*,
4]:
                      1  2  3  4  5  6  7  8  9 :=
                   1  0  0  0  0  0  0  0  1  0  
                   2  0  0  0  1  0  0  0  0  0  
                   3  0  0  1  0  0  0  0  0  0  
                   4  1  0  0  0  0  0  0  0  0  
                   5  0  0  0  0  0  0  1  0  0  
                   6  0  0  0  0  1  0  0  0  0  
                   7  0  1  0  0  0  0  0  0  0  
                   8  0  0  0  0  0  0  0  0  1  
                   9  0  0  0  0  0  1  0  0  0  

[*,*,
5]:
                      1  2  3  4  5  6  7  8  9 :=
                   1  0  0  0  0  0  1  0  0  0  
                   2  0  0  1  0  0  0  0  0  0  
                   3  0  0  0  0  0  0  1  0  0  
                   4  0  1  0  0  0  0  0  0  0  
                   5  0  0  0  0  0  0  0  0  1  
                   6  0  0  0  1  0  0  0  0  0  
                   7  0  0  0  0  1  0  0  0  0  
                   8  1  0  0  0  0  0  0  0  0  
                   9  0  0  0  0  0  0  0  1  0  

[*,*,
6]:
                      1  2  3  4  5  6  7  8  9 :=
                   1  0  0  0  0  1  0  0  0  0  
                   2  0  0  0  0  0  0  1  0  0  
                   3  0  1  0  0  0  0  0  0  0  
                   4  0  0  0  0  0  0  0  0  1  
                   5  0  0  0  0  0  1  0  0  0  
                   6  1  0  0  0  0  0  0  0  0  
                   7  0  0  0  0  0  0  0  1  0  
                   8  0  0  1  0  0  0  0  0  0  
                   9  0  0  0  1  0  0  0  0  0  

[*,*,
7]:
                      1  2  3  4  5  6  7  8  9 :=
                   1  0  0  0  1  0  0  0  0  0  
                   2  1  0  0  0  0  0  0  0  0  
                   3  0  0  0  0  0  0  0  1  0  
                   4  0  0  0  0  0  1  0  0  0  
                   5  0  1  0  0  0  0  0  0  0  
                   6  0  0  0  0  0  0  0  0  1  
                   7  0  0  1  0  0  0  0  0  0  
                   8  0  0  0  0  1  0  0  0  0  
                   9  0  0  0  0  0  0  1  0  0  

[*,*,
8]:
                      1  2  3  4  5  6  7  8  9 :=
                   1  0  1  0  0  0  0  0  0  0  
                   2  0  0  0  0  0  0  0  0  1  
                   3  0  0  0  0  1  0  0  0  0  
                   4  0  0  0  1  0  0  0  0  0  
                   5  0  0  0  0  0  0  0  1  0  
                   6  0  0  1  0  0  0  0  0  0  
                   7  0  0  0  0  0  0  1  0  0  
                   8  0  0  0  0  0  1  0  0  0  
                   9  1  0  0  0  0  0  0  0  0  

[*,*,
9]:
                      1  2  3  4  5  6  7  8  9 :=
                   1  0  0  0  0  0  0  0  0  1  
                   2  0  1  0  0  0  0  0  0  0  
                   3  0  0  0  1  0  0  0  0  0  
                   4  0  0  0  0  0  0  1  0  0  
                   5  0  0  1  0  0  0  0  0  0  
                   6  0  0  0  0  0  1  0  0  0  
                   7  1  0  0  0  0  0  0  0  0  
                   8  0  0  0  0  0  0  0  1  0  
                   9  0  0  0  0  1  0  0  0  0  

;

end;
